Red,Green,Blue
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.647,0.147,0.206
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.625,0.156,0.219
0.625,0.156,0.219
0.645,0.161,0.194
0.645,0.161,0.194
0.645,0.161,0.194
0.645,0.161,0.194
0.645,0.161,0.194
0.645,0.161,0.194
0.645,0.161,0.194
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.611,0.167,0.222
0.611,0.167,0.222
0.629,0.171,0.200
0.611,0.167,0.222
0.618,0.176,0.206
0.583,0.194,0.222
0.588,0.206,0.206
0.588,0.206,0.206
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.594,0.187,0.219
0.594,0.187,0.219
0.594,0.187,0.219
0.594,0.187,0.219
0.594,0.187,0.219
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.629,0.171,0.200
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.606,0.182,0.212
0.625,0.156,0.219
0.606,0.182,0.212
0.625,0.156,0.219
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.636,0.152,0.212
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
0.618,0.176,0.206
